Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills, Available,Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
,2,2,0,0,"Data Analytics, MS-Excel, Machine Learning, Python, SQL",Yes,,Data Science,2023,0.80,0.0632,1,1
,2,0,0,0,"C Programming, C++ Programming, Amazon Web Server (AWS), Blockchain, Database Management System (DBMS), DevOps, Flutter, Internet of Things (IoT), Java, Python",Yes,Bachelor of Technology (B.Tech),Science,2023,NA,0.715,1,1
,3,3,2,3,"C++ Programming, Computer Vision, Data Analytics, Deep Learning, Machine Learning, Python, SQL, Data Science, Docker, Flask, Git, MATLAB, Manual Testing, Natural Language Processing (NLP), PostgreSQL",Yes,B.Tech,Computer Science,2024,NA,NA,NA,NA
,0,0,0,0,,Yes,Master of Science (M.Sc),Data Science,2024,NA,NA,NA,NA
,3,3,2,3,"Computer Vision, Deep Learning, English Proficiency (Written), Machine Learning, Python, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Natural Language Processing (NLP), SQL, Statistics",Yes,B.Tech,Computer Science & Engineering,2024,NA,0.752,NA,NA
,2,1,0,0,"CSS, Data Analytics, HTML, MS-Excel, Python, SQL, Django, Java, JavaScript, Machine Learning, REST API",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,NA,NA,NA,NA
,3,3,0,3,"Android, Computer Vision, Data Analytics, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Event Management, MS-Excel, Machine Learning, Neural Networks, OpenCV, Python, C++ Programming, Data Science, Firebase, Firebase Cloud Messaging, Flutter, Jira, Microsoft Project, Product Management, UI & UX Design",Yes,B.Tech,computer science,2024,NA,0.953,1,1
,2,2,1,1,"C Programming, Digital Signal Processing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Neural Networks, Python, Adobe Photoshop, C++ Programming, Computer Vision, Data Science, Deep Learning, GNU Octave, Image Processing, MATLAB, Natural Language Processing (NLP)",Yes,B.Tech,Electronics and Communication,2024,NA,NA,NA,NA
,2,0,0,0,"C Programming, C++ Programming, MS-PowerPoint, Mathematics, MySQL, Python, Data Science",Yes,Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2023,NA,0.891,1,1
,2,2,2,2,"Algorithms, Android, Artificial Intelligence, Dart, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Flutter, Golang, Java, Machine Learning, Natural Language Processing (NLP), Python, BIG DATA ANALYTICS, Cloud Firestore, Firebase, iOS",No,Bachelor of Technology (B.Tech),Computer Science & Engineering,2025,NA,0.923,NA,NA
,2,0,0,0,"Python, C++ Programming",Yes,,,0,NA,NA,NA,NA
,2,2,1,2,"HTML, Adobe Photoshop, Algorithms, Artificial intelligence, CSS, Deep Learning, JavaScript, MS SQL Server, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, MySQL, Neural Networks, Photography, Python, Video Editing, C Programming, Django, MATLAB, MongoDB, Natural Language Processing (NLP), R Programming",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering (AI & ML),2024,NA,NA,1,NA
,3,2,0,2,"Data Analytics, English Proficiency (Spoken), English Proficiency (Written), Python, Statistics, Deep Learning, MS-Excel, Machine Learning, Power BI, SQL",Yes,B.Tech,Mechanical Engineering,2025,NA,NA,1,1
,2,1,0,0,"SQL, Data Analytics, Gitlab, MS SQL Server, MS-Excel, Power BI, Python, Tableau, Data Science, Machine Learning",Yes,Bachelor of Engineering (B.E),Information Technology,2024,NA,NA,NA,NA
,2,2,0,0,"ArcGIS, C++ Programming, Computer Vision, Data Analytics, MS-Excel, Machine Learning, OpenCV, Python, Economics, Power BI, SQL",Yes,Integrated B.Tech & M.Tech,,2026,NA,NA,NA,NA
,2,2,0,0,"MS-Office, Data Analytics, Data Science, MS-Excel, Machine Learning, Python, Statistics, Power BI, SQLite",Yes,B.Tech,Electronics and Telecommunication Engineering (ETE),2015,NA,NA,NA,NA
,2,0,0,0,"HTML, C Programming, CSS, Figma, Git, Python, SQL, Amazon Web Services (AWS), C++ Programming, Flask, MongoDB, Node.js, Postman",Yes,Bachelor of Engineering (B.E),,2024,NA,NA,NA,NA
,2,2,2,2,"Data Science, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, SQL, Statistics",Yes,Bachelor of Science (B.Sc) (Hons.),Science,2022,NA,0.85,1,NA
,2,0,0,0,"Python, SQL, WordPress, C Programming, C++ Programming, Java",Yes,Bachelor of Engineering (B.E),IT,2021,NA,0.783,1,1
,3,2,1,2,"C Programming, LaTeX, Neural Networks, Python, Computer Vision, Data Structures, Deep Learning, Git, Image Processing, MATLAB, Machine Learning, OpenCV, SQL, Data Science, Docker, Flask, Natural Language Processing (NLP), REST API",Yes,B.Tech (Hons.),Electronics Engineering,2023,NA,0.93,1,1
,2,2,2,2,"Data Analytics, Computer Vision, Data Science, Deep Learning, MS-Excel, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Python, R Programming, SQL, Statistics, Tableau, .NET, Amazon Web Services (AWS), Image Processing, OpenCV, Power BI",Yes,Bachelor of Engineering (B.E),,2019,NA,NA,NA,NA
,2,2,2,2,"Data Analytics, Data Science, Deep Learning, Flask, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, SQL",Yes,B.E Computer Science and Engineering (Artificial Intelligence and machine Learning),Computer Science,2023,NA,0.809,NA,1
,0,2,0,0,"Git, GitHub, Machine Learning, Adobe Photoshop Lightroom CC, Computer Vision, Django, Flask",Yes,B.Tech,computer science,2024,NA,NA,NA,NA
,2,2,0,1,"Artificial Intelligence, C Programming, Content Writing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Java, Machine Learning, Python, SQL, Blogging, Database Management System (DBMS), Deep Learning, Search Engine Optimization (SEO)",Yes,Bachelor of Technology (B.Tech),CSE AIML,2024,NA,0.9,NA,NA
,3,0,0,0,"C Programming, C++ Programming, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Python, Data Structures, HTML, MATLAB, R Programming, SQL",Yes,B.Tech,Computer Science & Engineering,2024,NA,0.856,1,1
,2,1,0,0,"English Proficiency (Written), Python, Bootstrap, CSS, Docker, Express.js, HTML, JavaScript, Machine Learning, Microsoft Azure, MongoDB, Node.js",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,NA,0.826,1,1
,3,3,2,3,"Data Analytics, Deep Learning, Machine Learning, Python, Artificial intelligence, Business Analysis, Data Science, Java, Natural Language Processing (NLP), NoSQL, Power BI, R Programming, SQL, SAS",Yes,B.Tech (Hons.),Machine Learning,2023,NA,0.75,1,1
,2,2,1,0,"MS-Excel, Business Analysis, Data Analytics, Data Science, Machine Learning, Python, SQL, Tableau, Natural Language Processing (NLP)",Yes,B.Tech,Mechanical Engineering,2017,NA,NA,NA,NA
,2,2,0,1,"CSS, HTML, C Programming, C++ Programming, Image Processing, MATLAB, Machine Learning, MySQL, Python, ReactJS, Tailwind CSS, Computer Vision, Deep Learning, MS-Excel, PHP",Yes,B.Tech (Hons.),Computer Science & Engineering,2023,NA,0.897,1,1
,3,2,1,0,"MySQL, Python, Flask, Java, MS-Excel, Machine Learning, SQL, Tableau, Natural Language Processing (NLP)",Yes,B.Tech,Computer Science & Engineering,2024,NA,NA,1,1
,3,0,0,0,"BIG DATA ANALYTICS, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Python, C++ Programming, Data Science, Hadoop, SQL, MATLAB",Yes,B.Tech,Computer Science And Engineering (Data Science),2025,NA,NA,NA,NA
,1,1,0,0,"C++ Programming, Data Science, Google Analytics, Machine Learning, Python, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Statistics",Yes,Master of Computer Applications (MCA),computer science,2006,NA,0.74,1,NA
,2,0,0,0,"CSS, HTML, C++ Programming, Dart, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Figma, Python, Adobe Photoshop, Database Management System (DBMS), Flutter, MySQL",Yes,B.Tech,Computer Science,2025,NA,NA,NA,NA
,1,1,0,1,"C Programming, C++ Programming, CSS, HTML, Data Science, Deep Learning, JavaScript, Machine Learning, PHP, Python, SQL",Yes,Bachelor of Technology (B.Tech),Compuer Science And Information Technology,2024,NA,0.86,1,1
,0,0,0,0,"Bootstrap, C++ Programming, CSS, Express.js, GitHub, HTML, JavaScript, ReactJS, jQuery, Amazon Web Services (AWS), CCNA, Git, Google Cloud Computing, Java, MATLAB, MS-Office, MongoDB, MySQL, Node.js, Software Testing, Tailwind CSS, Vue Js, WordPress, web3.js, Amazon Web Server (AWS), AngularJS, PHP, Shell Scripting",Yes,B.Tech,Electronics and Communication,2024,0.85,NA,1,1
,2,2,0,0,"Artificial intelligence, C++ Programming, Cloud Computing, Data Analytics, Machine Learning, MySQL, Python, REST API",Yes,,,0,NA,NA,1,1
,2,0,0,0,"Data Structures, Python, Database Management System (DBMS), Java",Yes,Bachelor of Engineering (B.E),,2026,NA,NA,NA,NA
,1,1,1,1,"MS-Excel, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL, Selenium",Yes,PG Diploma in Data Science,"Machine Learning ,NLP And Deep Learning",2023,NA,NA,NA,NA
,2,2,2,2,"Artificial intelligence, Data Analytics, Data Science, Deep Learning, Docker, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL",Yes,B.Tech,MlAI,2023,NA,0.8,1,1
,2,2,0,2,"Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, MS-Excel, Machine Learning, Neural Networks, OpenCV, Python, SQL",Yes,B.Tech,,2023,0.81,NA,1,1
,0,0,0,0,,Yes,B.Tech,,2023,NA,NA,NA,NA
,1,2,1,0,"Computer Vision, Data Science, Data Structures, Java, MS-Excel, Machine Learning, SQL, Data Analytics, Natural Language Processing (NLP), Python",Yes,Bachelor of Engineering (B.E),Computer Science & Engineering,2024,NA,0.84,1,NA
,3,2,2,2,"Data Science, MS-Excel, Python, R Programming, C Programming, Computer Vision, Data Analytics, Database Management System (DBMS), Deep Learning, MS-Office, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, SQL, Financial Modeling",Yes,Bachelor of Technology (B.Tech),Data Analytics,2023,NA,1,1,1
,2,2,0,0,"Git, Java, JavaScript, Machine Learning, Python, SQL",Yes,B.Tech,Computer Science,2024,NA,0.98625,NA,NA
,3,0,0,0,"Data Science, Python, C++ Programming, Cloud Computing, SQL",Yes,Bachelor of Engineering (B.E),Computer Science,2023,NA,NA,1,1
,1,1,0,0,"Adobe Photoshop, Data Science, Digital Marketing, English Proficiency (Written), MS-Excel, MS-Word, Artificial intelligence, Machine Learning, Python",Yes,B.Tech,Computer Science & Engineering In AIML,2024,NA,0.859,1,1
,1,0,0,0,"C++ Programming, English Proficiency (Spoken), Python",Yes,B.Tech (CSE) with specialization in Cyber Security ,,2025,NA,0.953333333,NA,NA
,2,2,0,2,"R Programming, C++ Programming, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, HTML, Java, JavaScript, Machine Learning, MySQL, Neural Networks, PHP, Python",Yes,Bachelor of Science (B.Sc) (Hons.),computer science,2023,NA,0.979,1,1
,2,2,1,1,"Arduino, CSS, Data Science, Data Structures, Embedded Systems, HTML, Internet of Things (IoT), Java, MEAN/MERN Stack, Machine Learning, MySQL, Postman, Python, REST API, ReactJS, SQL, Bootstrap, Deep Learning, Flask, Git, GitHub, JavaScript, MS-Excel, MongoDB, Natural Language Processing (NLP), Node.js, PCB Design, Redux",Yes,Bachelor of Technology (B.Tech),Electronics and Communication,2023,NA,0.787,1,1
,2,2,0,2,"Data Analytics, Deep Learning, MATLAB, Machine Learning, Python",Yes,Master of Technology (M.Tech),Climate Science And Technology,2023,0.73,NA,1,1
,2,0,0,0,"English Proficiency (Spoken), MS-Word, Online Teaching, Blogging, British English, Client Interaction, Computer Networks, Copywriting, Creative Writing, English Proficiency (Written), HTML, MS-Excel, Mathematics, Python, Subject Matter Expert (SME), Transcription, Translation, C Programming, C++ Programming, CSS, Data Science, Java, JavaScript, PHP, Teaching",Yes,B.Tech (Hons.),Computer Science & Engineering,2024,NA,NA,1,1
,2,1,0,1,"CSS, Data Structures, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Excel, MS-PowerPoint, Python, Teaching, Apache, Bootstrap, Data Science, Database Management System (DBMS), Deep Learning, Design Thinking, Java, JavaScript, Machine Learning, MySQL, PHP, SQL",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering ( Machine Learning),2025,NA,NA,1,1
,3,1,1,2,"C Programming, English Proficiency (Written), Python, .NET, Algorithms, CSS, Computer Vision, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), Java, JavaScript, MATLAB, R Programming, Artificial Intelligence, HTML, Machine Learning, Natural Language Processing (NLP), Neural Networks",Yes,B.Tech,Computer Science & Engineering,2025,1.00,NA,NA,NA
,2,0,0,0,"Python, SQL",Yes,Bachelor of Computer Science (B.C.S.),computer science,2022,NA,NA,NA,NA
,2,0,0,0,"C Programming, C++ Programming, Python, Java, Power BI, R Programming, Tableau",No,Master of Science (M.Sc),Applied Mathematics,2024,NA,NA,NA,NA
,1,1,0,0,"Translation, Machine Learning, Model View Controller(MVC), Python",Yes,Bachelors Of Software Engineering,,2024,NA,NA,NA,NA
,2,0,0,0,"Embedded Systems, PLC SCADA, Plc Programming, Python, SQL, Blockchain, C Programming, HTML, Internet of Things (IoT), Java",Yes,B.Tech,Electronics and Communication,2023,NA,0.8156,1,1
,2,2,0,1,"English Proficiency (Written), ArcGIS, Artificial intelligence, C Programming, C++ Programming, Data Analytics, Data Science, Database Management System (DBMS), Java, Machine Learning, MongoDB, Neural Networks, Python, SQL, Deep Learning, GNU Octave, Image Processing, MySQL, NoSQL, R Programming, Video Editing",Yes,Master of Science (M.Sc),Data Science With Business And Management,2022,0.90,0.92,1,1
,2,1,0,1,"Java, Python, Deep Learning, Machine Learning",Yes,Master of Technology (M.Tech),Computer Science,2022,0.76,0.697,1,1
,2,2,0,0,"C Programming, Data Analytics, Data Science, Java, JavaScript, Machine Learning, Node.js, Python, ReactJS, BIG DATA ANALYTICS, Django, Neural Networks, PHP",Yes,Bachelor of Engineering (B.E),Information Technology,2024,NA,0.92,1,NA
,3,3,2,3,"Data Analytics, Data Science, Deep Learning, JavaScript, Machine Learning, Power BI, Python, SQL, .NET, Artificial Intelligence, Computer Vision, Django, Natural Language Processing (NLP), R Programming",Yes,B.Tech,Data Science,2024,0.89,NA,1,NA
,1,2,0,0,"C++ Programming, HTML, Java, Machine Learning, MySQL, CSS, JavaScript, Python",Yes,MCA,,2023,NA,NA,1,1
,0,0,0,0,"CSS, HTML, AJAX, ASP.NET, C#.NET, JavaScript, SQL, AngularJS, Bootstrap, Node.js, ReactJS",Yes,Master of Science (M.Sc),Chemistry,2023,NA,NA,NA,NA
,0,0,0,0,Adobe Dreamweaver,No,,,0,NA,NA,1,1
,2,2,0,2,"Creative Writing, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Python, SQL, Computer Vision, Data Structures, English Proficiency (Spoken), Image Processing, MySQL, Neural Networks, OpenCV, Tableau",Yes,Bachelor of Technology (B.Tech),computer science,2023,NA,0.85,1,1
,2,2,0,2,"MS-Excel, MS-Office, Deep Learning, Machine Learning, Power BI, Python, R Programming, SQL, Tableau, Database Management System (DBMS)",Yes,Master of Science (M.Sc),Statistics,2023,0.81,0.894,1,1
,0,0,0,0,"MS-Word, CSS, HTML, JavaScript, MS-Excel, MS-PowerPoint",Yes,,Computer Science & Technology,2023,NA,NA,NA,NA
,1,0,0,0,"CSS, HTML, Java, JavaScript, PHP, Python",Yes,,Computer Technology,2023,NA,NA,NA,NA
,0,0,0,0,"C++ Programming, CSS, Creative Writing, English Proficiency (Written), HTML, JavaScript",Yes,Bachelor of Science (B.Sc) (Hons.),Computer Science,2023,NA,0.94,1,1
,0,0,0,0,,No,Bachelor of Computer Applications (BCA),Computer Science,2023,NA,NA,NA,NA
,3,3,0,0,"Golang, Java, Machine Learning, Python, Data Analytics, PostgreSQL",Yes,B.Tech,Computer Science & Engineering,2022,NA,0.75,NA,NA
,2,2,0,0,"MS-Excel, Data Analytics, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, SQL, Statistics, Tableau",Yes,Bachelor of Engineering (B.E),Computer Science & Engineering,2024,NA,0.808,NA,NA
,0,0,0,0,,Yes,BE,,2021,NA,NA,NA,NA
,0,0,0,0,"SQL, C Programming, HTML, Java, MySQL",Yes,Master of Computer Applications (MCA),computer science,2023,0.73,NA,NA,NA
,2,2,0,2,"Effective Communication, Artificial Intelligence, Deep Learning, Machine Learning, Python, Power BI",Yes,,,0,NA,NA,1,NA
,2,2,1,1,"English Proficiency (Spoken), English Proficiency (Written), HTML, Business Research, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Java, JavaScript, MS-Excel, Machine Learning, Python, ReactJS, SQL, Tableau, Deep Learning, Flutter, Hadoop, Linux, MongoDB, Natural Language Processing (NLP)",Yes,B.Tech,Computer Science And Engineering( Data Science),2025,NA,0.908,1,1
,2,1,0,1,"Arduino, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Word, C Programming, C++ Programming, Internet of Things (IoT), Python, SQL, Data Analytics, Data Science, Deep Learning, Embedded Systems, Machine Learning, Power BI, Robotics",Yes,B.Tech,,2025,NA,NA,NA,NA
,2,2,0,0,"MS-Excel, Data Analytics, Database Management System (DBMS), Machine Learning, Python, SQL, Statistics, Tableau",Yes,Integrated M.Sc.,Mathematics,2013,NA,NA,NA,NA
,2,2,0,1,"Algorithms, Data Structures, Computer Vision, Django, FastAPI, Figma, Firebase, Machine Learning, OpenCV, PostgreSQL, Python, Artificial Intelligence, Data Analytics, Data Science, Deep Learning",Yes,B.Tech,Computer Science & Engineering,2025,NA,NA,NA,NA
,0,0,0,0,,Yes,MCA,Computer Science,2024,NA,NA,NA,NA
,2,2,2,2,"Computer Vision, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL",Yes,B.Tech,Artificial Intelligence And Data Science,2024,NA,0.889,NA,NA
,2,2,0,0,"C Programming, Data Science, Machine Learning, Python, Flutter, MySQL",Yes,B.Tech,,2024,NA,NA,NA,NA
,2,2,0,2,"Data Analytics, Deep Learning, Machine Learning, MySQL, Python, Power BI, Tableau",Yes,M.Tech,Structural Engineering,2021,0.86,0.8482,NA,NA
,3,1,0,0,"Data Analytics, MS-Excel, Power BI, Python, SQL, Data Science, Tableau, Machine Learning",Yes,Integrated B.E & M.Tech,Mechanical Engineering,2020,NA,0.0694,NA,NA
,3,3,0,0,"Data Science, Interpersonal Skills, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Neural Networks, Python, SPSS, SQL, Adobe Photoshop, Data Structures, Power BI, Tableau, PostgreSQL, Search Engine Optimization (SEO)",Yes,Post Graduate Diploma in Management (P.G.D.M.),Analytics,2023,NA,0.723,NA,NA
,2,2,2,2,"Amazon Web Server (AWS), BIG DATA ANALYTICS, English Proficiency (Written), MS-PowerPoint, MS-Word, MySQL, Neural Networks, Artificial Intelligence, Cloud Computing, Computer Vision, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), GitHub, Hadoop, Java, Linux, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Python, R Programming, Research and Analytics, SQL, Statistics, Tableau, Data Structures, Power BI",Yes,,Post Graduate Diploma In Big Data Analytics,2023,NA,NA,NA,NA
,2,3,1,0,"Machine Learning, Power BI, Python, SQL, Natural Language Processing (NLP)",Yes,Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2019,0.70,NA,NA,NA
,2,1,0,1,"Data Analytics, Data Science, Python, SQL, Apache Kafka, Deep Learning, MS-Excel, Machine Learning, ReactJS",Yes,Bachelor of Science (B.Sc),Computer Science,2023,NA,0.947,1,1
,2,1,0,1,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Java, MS-Office, MS-PowerPoint, MySQL, NoSQL, Python, R Programming, Artificial intelligence, Computer Vision, Data Analytics, Data Science, Deep Learning, Docker, Hadoop, JavaScript, Machine Learning, MongoDB, SQL, Statistical Modeling, Tableau",Yes,Master of Science (M.Sc),Computer Science,2024,0.77,0.804,1,1
,2,0,0,0,"HTML, C Programming, C++ Programming, CSS, Git, MySQL, Node.js, Python, ReactJS, Express.js, Figma, MongoDB",Yes,B.Tech,Agriculture & Food Engineering,2024,NA,0.782,1,1
,1,1,0,0,"C Programming, C++ Programming, Computer Vision, Machine Learning, Project Management, Python, User Interface (UI) Development",Yes,B.Tech,Information Technology,2024,NA,NA,NA,NA
,3,3,0,0,"Business Analysis, Data Analytics, Data Science, MS-Excel, Machine Learning, Python, SQL, Tableau",Yes,Bachelor of Computer Applications (BCA),Information Technology,2025,NA,NA,NA,NA
,3,3,0,2,"Business Analysis, Data Analytics, Data Science, Data Structures, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Python, R Programming, Statistical Modeling, Statistics, Deep Learning, Hadoop, MATLAB, MS SQL Server, MySQL, Neural Networks, Power BI, SQL, CSS, HTML, Java, JavaScript, PHP, PostgreSQL",No,B.Tech,Artificial Intelligence And Data Science,2025,NA,0.972,NA,NA
,3,2,2,3,"Adobe Photoshop, CSS, Data Analytics, Deep Learning, English Proficiency (Written), HTML, Java, MS-Excel, MySQL, NoSQL, Python, SQL, Tableau, Algorithms, Artificial Intelligence, BIG DATA ANALYTICS, C Programming, C++ Programming, Computer Vision, Creative Writing, Data Science, Data Structures, Database Management System (DBMS), Effective Communication, English Proficiency (Spoken), Linear Programming, MS-Office, Machine Learning, Mathematics, Natural Language Processing (NLP), Neural Networks, Parallel Thinking, Power BI",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering Data Science AI ML,2024,NA,NA,1,1
,0,0,0,0,,Yes,B.Tech,,2024,NA,NA,NA,NA
,2,2,0,0,"Data Analytics, Data Science, Data Structures, MS-Excel, Machine Learning, MySQL, Power BI, Python, SQL, Statistics",Yes,Bachelor of Science (B.Sc),,2023,0.80,NA,NA,NA
,2,2,0,0,"Data Analytics, Database Management System (DBMS), Machine Learning, MySQL, Python, WordPress, Data Science, Data Structures",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,NA,0.72,NA,NA
,2,0,0,0,"MS-PowerPoint, C Programming, MATLAB, MS-Excel, MS-Office, Python, SQL, VHDL, HTML, Tableau",Yes,B.Tech,Electronics and Communication,2023,NA,0.789,1,1
,0,0,0,0,"American English, Business Analysis, Business Research, English Proficiency (Spoken)",Yes,Hsc,Commerce,2018,NA,NA,NA,NA
,3,3,0,2,"Database Management System (DBMS), MS-Excel, Machine Learning, Python, SQL, Artificial Intelligence, Deep Learning, Statistical Modeling, Cloud Computing",Yes,Bachelor of Science (B.Sc),,2023,NA,NA,1,NA
,1,1,0,0,"C Programming, C++ Programming, Data Structures, Java, CSS, Data Science, HTML, JavaScript, Machine Learning, MySQL, Python",Yes,Bachelor of Engineering (B.E),Information Technology,2023,NA,0.972222222,1,1
,0,0,0,0,"C++ Programming, English Proficiency (Spoken), HTML, MS-Excel, MS-Word",Yes,,computer science,2023,NA,0.8889,NA,NA
,2,0,0,0,"CSS, Django, HTML, JavaScript, MongoDB, Python, WordPress, Adobe Audition, Arabic Proficiency (Spoken), Dietetics/Nutrition, Firebase, GIMP, Gazebo, HelioScope, Japanese Proficiency (Spoken), Java, Marathi Proficiency(Spoken), MySQL, Power BI, REST API, ReactJS, Search Engine Optimization (SEO), Tableau, Tailwind CSS, YouTube Ads",Yes,Master of Science (M.Sc),computer science,2024,0.86,NA,1,1
,3,2,0,0,"English Proficiency (Spoken), English Proficiency (Written), Python, HTML, Java, Machine Learning",Yes,B.Tech,computer science,2024,NA,NA,1,1
,0,0,0,0,,Yes,B.Tech,computer science,2023,NA,0.901,1,NA
,0,0,0,0,"C++ Programming, Java",Yes,Bachelor of Technology (B.Tech),Mechanical Engineering,2023,NA,NA,NA,NA
,3,2,2,2,"Data Structures, Database Management System (DBMS), Python, SQL, Cloud Computing, Computer Vision, Data Analytics, Data Science, Deep Learning, Django, HTML, Machine Learning, Natural Language Processing (NLP), Neural Networks, Shell Scripting",Yes,B.Tech,Computer Science & Engineering,2024,NA,0.944,1,NA
,2,0,0,0,"C Programming, C++ Programming, Python, Cloud Computing",Yes,B.Tech,Computer Science,2023,NA,0.82,1,1
,2,2,1,1,"Data Science, Machine Learning, MySQL, Python, SQL, Data Analytics, Deep Learning, GitHub, Natural Language Processing (NLP), Neural Networks",Yes,Bachelor of Engineering (B.E),Computer Science & Engineering,2021,NA,1,NA,NA
,2,2,0,2,"Algorithms, Artificial Intelligence, C++ Programming, CI/CD, Cloud Firestore, Computer Networks, Computer Vision, Database Management System (DBMS), Deep Learning, Firebase, GitHub, Image Processing, MS-Excel, Machine Learning, Neural Networks, Power BI, Python, SQL, VS Code, XML",Yes,B.Tech,Electronics and Communication,2024,NA,0.77,1,NA
,0,0,0,0,MS-Excel,Yes,B.Tech,Mechanical Engineering,2022,NA,NA,1,1
,2,2,0,2,"C Programming, C++ Programming, Computer Vision, Creative Writing, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Image Processing, MS-Excel, MS-Word, Machine Learning, Mathematics, Neural Networks, Python, Research and Analytics",Yes,B.Tech,computer science,2025,NA,0.864,NA,NA
,2,2,2,2,"Data Analytics, MS-Excel, SQL, Data Science, Data Structures, Deep Learning, Machine Learning, MongoDB, Natural Language Processing (NLP), Python, Tableau, Java",Yes,B.Tech,Computer Science & Engineering,2023,NA,1,1,1
,3,3,2,3,"Deep Learning, MATLAB, Machine Learning, Python, Arduino, Artificial Intelligence, C++ Programming, Computer Networks, Data Structures, Database Management System (DBMS), Hadoop, Image Processing, MongoDB, Natural Language Processing (NLP), PostgreSQL, Raspberry Pi, Java",Yes,B.Tech,AI,2024,NA,0.813,NA,NA
,2,2,0,1,"Data Analytics, Data Science, English Proficiency (Spoken), Google Analytics, MS-Excel, Machine Learning, Python, SQL, Tableau, Computer Vision, Deep Learning",Yes,B.Tech,Computer Science & Engineering,2025,NA,NA,NA,NA
,3,1,1,2,"Data Structures, Java, LARAVEL, Python, REST API, Spring MVC, C Programming, Deep Learning, MongoDB, SQL, Data Analytics, Django, Machine Learning, Natural Language Processing (NLP), OpenCV, Power BI",Yes,B.Tech,Computer Science & Engineering,2023,NA,NA,NA,1
,2,2,0,2,"MS-Excel, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Git, GitHub, Machine Learning, PostgreSQL, Power BI, Python, SQL, Statistical Modeling, Tableau, Visual Basic (VB)",No,Bachelor of Science (B.Sc),Mathematics,2023,NA,NA,1,1
,2,2,0,1,"Algorithms, C++ Programming, Data Structures, HTML, JavaScript, Machine Learning, Python, CSS, Deep Learning, Node.js, SQL",Yes,B.Tech,Information Technology,2023,NA,0.952,1,1
,0,0,0,0,"Business Analysis, Data Science, Data Analytics, MS-Excel, Research and Analytics",Yes,B.Tech,Mechanical Engineering,2024,NA,NA,NA,NA
,2,2,2,2,"Neural Networks, Android, C++ Programming, Data Analytics, Data Science, Deep Learning, GitHub, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Python, SQL, Django, Kotlin, MS-Excel, UI & UX Design",Yes,B.Tech,Computer Science & Engineering,2024,0.92,NA,1,1
